epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,124.353,1.573,2.43853,1.04174,0.96329,0.14671,0.22458,0.13293,1.41133,2.45607,1.02171,0.000411111,0.000411111,0.000411111
2,246.77,1.35337,1.46398,0.99254,0.71139,0.25664,0.24724,0.15516,1.32644,1.48909,0.98833,0.000819583,0.000819583,0.000819583
3,386.159,1.32311,1.36929,0.97753,0.71861,0.26964,0.25802,0.16629,1.27741,1.36778,0.99841,0.0012198,0.0012198,0.0012198
4,509.004,1.2633,1.25992,0.96136,0.8857,0.27194,0.28984,0.18701,1.2185,1.1935,0.97004,0.00121287,0.00121287,0.00121287
5,636.601,1.30748,1.25252,0.97047,0.87544,0.27144,0.38976,0.21602,1.25001,1.18758,0.98007,0.0012005,0.0012005,0.0012005
6,784.088,1.24136,1.17601,0.93503,0.81099,0.30289,0.43201,0.24818,1.13702,1.09922,0.95041,0.00118812,0.00118812,0.00118812
7,928.177,1.17909,1.1165,0.93995,0.53007,0.42083,0.4688,0.26627,1.13275,1.06363,0.94599,0.00117575,0.00117575,0.00117575
8,1073.91,1.18361,1.07645,0.92681,0.52503,0.4807,0.48177,0.27306,1.13531,1.0328,0.94704,0.00116337,0.00116337,0.00116337
9,1215.68,1.17472,1.05556,0.93821,0.56292,0.49315,0.52697,0.30719,1.15984,1.02169,0.9568,0.001151,0.001151,0.001151
10,1359.92,1.17689,0.99337,0.92817,0.60444,0.58423,0.58274,0.33041,1.12179,0.9696,0.94335,0.00113863,0.00113863,0.00113863
11,1500.88,1.15643,0.96159,0.93377,0.68717,0.58204,0.61542,0.36619,1.13377,0.91151,0.94786,0.00112625,0.00112625,0.00112625
12,1644.68,1.18082,0.93394,0.93023,0.70954,0.67392,0.67539,0.40878,1.10577,0.90357,0.94222,0.00111388,0.00111388,0.00111388
13,1787.2,1.11322,0.87274,0.91475,0.80176,0.66357,0.73853,0.43943,1.12322,0.87068,0.93864,0.0011015,0.0011015,0.0011015
14,1928.86,1.13208,0.86949,0.92104,0.77808,0.68063,0.74194,0.44124,1.11094,0.83521,0.94485,0.00108913,0.00108913,0.00108913
15,2069.74,1.12343,0.83735,0.9159,0.71823,0.72185,0.74769,0.45127,1.09389,0.80664,0.92733,0.00107675,0.00107675,0.00107675
16,2209.41,1.09383,0.79125,0.91275,0.80111,0.72521,0.77788,0.47453,1.05142,0.75773,0.92982,0.00106437,0.00106437,0.00106437
